title,company,location,job_type,sector,min_salary,max_salary,avg_salary,salary_raw,date_posted,url,source
Communications Officer,Agatha Valentine Hope Foundation,Abuja,Full Time,Community & Social Services,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/communications-officer-qz2z8e,jobberman
Cashier,kelv pharmacy & stores,Abuja,Full Time,Sales,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/cashier-j6qjxv,jobberman
House Keeper,Kemstin Resource Limited,Abuja,Part Time,Customer Service & Support,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/house-keeper-vdw5d5,jobberman
Sales Partner,Get a Shop Africa,Abuja,Part Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/sales-partner-commission-only-nigeria-0k7wdw,jobberman
Facility Manager,ROE TeXperts LTD,Abuja,Part Time,Estate Agents & Property Management,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/facility-manager-m0grkj,jobberman
Marketer,Parceldash Logistics,Abuja,Part Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/marketer-rrvxw4,jobberman
Digital Marketer,Pure Heart Homes Limited,Abuja,Part Time,Marketing & Communications,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/digital-marketer-5pxn9x,jobberman
Video Editor/Videographer,Pure Heart Homes Limited,Abuja,Part Time,Creative & Design,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/video-editorvideographer-8m52e6,jobberman
Game Night Host,Hothand Games and Grills,Abuja,Part Time,Hospitality & Leisure,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/game-night-host-d9knp2,jobberman
Social Media Manager,VICTORIASID TRAVELS AND TOURS,Abuja,Part Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/social-media-manager-7j504e,jobberman
AICESA AI Independent Business Consultant,African Institute for Innovative Computer Education & Skills Advancement (AICESA AI),Abuja,Part Time,Consulting & Strategy,,,,Confidential,,https://www.jobberman.com/listings/aicesa-ai-independent-business-consultant-commission-based-gmwe2e,jobberman
Consultant,Tatafish Foods,Abuja,Contract,Consulting & Strategy,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/consultant-k788gp,jobberman
Operations Assistant,Anonymous,Abuja,Contract,Building & Architecture,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/operations-assistant-quantity-surveyor-pg6gd4,jobberman
Civil/Building Engineer,Anonymous,Abuja,Contract,Engineering & Technology,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/civilbuilding-engineer-k7g7rn,jobberman
Archive Officer,Premium Human Resource Solutions Limited,Abuja,Contract,Admin & Office,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/archive-officer-5pd2g6,jobberman
Project Manager,Bridgemead Consulting,Abuja,Contract,Product & Project Management,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/project-manager-ervjq4,jobberman
Social Media Manager,TSM House,Abuja,Contract,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/social-media-manager-8m4prx,jobberman
Driving Instructor,Komon-Sense School of Motoring,Abuja,Contract,Driver & Transport Services,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/driving-instructors-x8pp0w,jobberman
Digital Marketing Tutor,Eunan Tech,Abuja,Contract,"Research, Teaching & Training",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/digital-marketing-tutor-contract-role-9kjmq7,jobberman
Motion Animator,She Writes Woman,Abuja,Contract,Creative & Design,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/motion-animator-5pxkn7,jobberman
Content Creator,Abroadin,Abuja,Contract,Marketing & Communications,150.0,300.0,225.0,USD 150 - 300,,https://www.jobberman.com/listings/study-abroad-video-content-creator-8m5r09,jobberman
Mobile Developer,TSM House,Abuja,Contract,Engineering & Technology,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/mobile-developer-flutter-ios-koltin-x82qnz,jobberman
